# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 15114 15114 4958 13114
-0.981485285149 -116313.847971 0.958609305334 9860 13404 6611 17048
-1.9427715048 -16546.7019254 0.954066260655 9494 14017 8846 19343
-2.77452494531 -7663.33958363 0.367232380645 9816 15834 8607 23420
-3.77532368751 -4419.85127634 0.767388804617 9341 16043 8771 23353
-4.75897890544 -2900.82746813 0.137113468268 8715 16190 7120 23695
-5.91516833704 -1983.27299127 0.636211776121 8871 16862 8947 22718
-6.86145925414 -1565.28347722 0.712750357987 9111 17685 10400 25353
-7.77336607578 -1321.38713513 0.781808673347 9624 19295 2026 28430
-9.85091734416 -972.465605685 0.43129633776 4131 8770 837 9529
-11.4626067055 -809.810727329 0.428217802597 1409 3084 1574 2658
-12.2967323276 -765.519114863 0.721703746646 1611 3370 147 3676
-13.693695565 -619.68578398 0.459079424237 140 332 0 0
