#  extra_sigma   eta1   eta2   eta3   eta4   ndim   maxNp   Np   P0   K0   phi0   ecc0   w0   staleness   vsys
# 
1.750664799999999965e-01 1.584265779999999957e+00 1.764049919999999938e+00 1.089119001999999981e+01 3.641838089999999806e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.068935367999999997e+01
3.506897900000000012e-01 3.964535599999999826e-01 3.448842829999999804e+00 2.827869115000000022e+01 2.578235589999999799e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.252972952999999912e+01 1.557574580000000042e+00 2.827763689999999830e+00 4.187194300000000036e-01 2.975188600000000072e+00 1.000000000000000000e+00 -3.044175660000000150e+01
2.265980999999999967e-01 3.502511600000000058e-01 5.441684569999999610e+00 2.885030795999999853e+01 3.928119109999999914e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.264293568999999984e+01 1.385807440000000001e+00 3.105109450000000049e+00 4.516046100000000174e-01 2.769961129999999994e+00 0.000000000000000000e+00 -3.079580445999999938e+01
1.027084500000000067e-01 1.104560219999999982e+00 3.931507679999999993e+01 2.897196775000000102e+01 4.087305040000000389e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.328629841999999961e+01 9.130843899999999680e-01 2.724668489999999998e+00 2.535278200000000148e-01 2.964589810000000103e+00 0.000000000000000000e+00 -2.996469456999999892e+01
5.600368300000000410e-01 6.724641000000000091e-01 2.675798376999999917e+01 1.840432403999999877e+01 4.401493630000000046e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.267882205000000084e+01 1.467965430000000016e+00 3.065056160000000141e+00 2.031722800000000106e-01 2.645953290000000013e+00 7.000000000000000000e+00 -3.056457689000000144e+01
2.095627200000000079e-01 1.003328799999999993e-01 1.159958810000000007e+00 1.958146222999999964e+01 4.909432380000000151e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.306111480999999941e+01 1.039078479999999916e+00 3.049310950000000187e+00 3.268668599999999813e-01 2.677728979999999925e+00 6.000000000000000000e+00 -3.092645014000000003e+01
3.014431100000000141e-01 9.771824500000000358e-01 7.102321039999999641e+00 3.904500299000000041e+01 5.877557100000000423e-01 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.126241772999999924e+01
4.695755799999999924e-01 2.923707500000000126e-01 8.099313640000000092e+00 2.564139352999999844e+01 4.857479129999999756e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.337924165999999992e+01 9.276632299999999498e-01 2.651342399999999877e+00 1.533571200000000134e-01 3.322337280000000170e+00 0.000000000000000000e+00 -3.086096223999999921e+01
5.179278499999999674e-01 1.074649500000000035e-01 3.197008368999999917e+01 3.350143783000000042e+01 2.271097339999999853e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.283255935000000036e+01 1.157063359999999985e+00 3.066421179999999858e+00 3.481055200000000016e-01 3.096643770000000018e+00 0.000000000000000000e+00 -3.115667301999999950e+01
2.776395700000000022e-01 3.461308300000000004e-01 2.861850830999999928e+01 2.274309741000000074e+01 5.456003999999999854e-01 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.252511486999999946e+01 1.307023669999999971e+00 3.051857239999999916e+00 2.920747699999999836e-01 2.784365740000000145e+00 3.000000000000000000e+00 -3.095160832999999911e+01
1.619327100000000075e-01 5.073542199999999669e-01 1.435301130000000036e+00 3.598585393999999837e+01 3.538137149999999842e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.421547922999999969e+01 1.896710040000000097e+00 2.969454450000000190e+00 9.455571299999999679e-01 3.267699749999999792e+00 1.000000000000000000e+00 -3.098575900000000161e+01
1.873771300000000029e-01 6.379824099999999998e-01 2.813335006000000149e+01 1.255798848000000056e+01 6.034055999999999864e-01 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.861459679999999395e+00 5.167665900000000256e-01 5.802077660000000137e+00 2.489312499999999928e-01 2.673695540000000204e+00 0.000000000000000000e+00 -3.096874319000000142e+01
2.369425400000000070e-01 1.417938090000000040e+00 1.652497357000000022e+01 1.475723434000000012e+01 1.178061859999999905e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.074004513999999944e+01
5.303487099999999455e-01 1.068509020000000032e+00 4.161209400999999986e+01 2.174732535000000055e+01 4.155300249999999807e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.254148960000000024e+01 1.655436109999999905e+00 3.073132119999999912e+00 5.193751899999999866e-01 2.689972539999999857e+00 7.000000000000000000e+00 -3.059554654000000085e+01
8.260675899999999627e-01 1.352885499999999963e+00 2.224786360999999957e+01 1.193793780999999932e+01 2.569897580000000126e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.297939163000000029e+01 8.470353600000000149e-01 2.843456419999999873e+00 5.306212000000000151e-01 2.968422009999999833e+00 0.000000000000000000e+00 -3.032171861000000135e+01
1.674439999999999956e-02 9.311174800000000529e-01 1.992284869999999986e+00 2.452524367999999910e+01 1.670610740000000094e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.384774900000000031e+00 1.642820399999999958e+00 5.372652689999999787e+00 8.921893400000000529e-01 6.220050060000000158e+00 0.000000000000000000e+00 -3.064604433999999955e+01
2.623241000000000045e-01 6.630278600000000244e-01 2.251373540000000162e+01 2.588253703999999900e+01 3.173810200000000137e-01 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.121506706999999992e+01
4.537879000000000218e-01 5.430469500000000282e-01 2.128723297000000159e+01 3.958295164999999827e+01 3.253905000000000269e-01 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.282855651999999935e+01 1.015385720000000047e+00 2.445900770000000168e+00 1.118214299999999994e-01 3.384030450000000023e+00 3.000000000000000000e+00 -3.112089775999999830e+01
4.957915299999999803e-01 4.392271400000000159e-01 2.155586376000000115e+01 1.009488827000000022e+01 9.181633599999999840e-01 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.365011692999999937e+01 1.125859200000000060e+00 2.555073500000000220e+00 5.106944599999999612e-01 3.477401819999999866e+00 0.000000000000000000e+00 -3.096017743999999894e+01
3.523022599999999782e-01 1.075707720000000034e+00 3.119175680000000117e+00 3.663044049999999885e+01 2.470169500000000129e-01 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.056737701999999857e+01
5.817917299999999514e-01 1.881403199999999998e-01 2.141216543999999899e+01 3.228129155999999966e+01 4.948596410000000390e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.291095879999999951e+01 9.270617399999999675e-01 2.886273459999999957e+00 5.610160199999999486e-01 2.929648080000000210e+00 0.000000000000000000e+00 -3.106562071999999830e+01
1.026487299999999936e-01 4.982050000000000090e-01 1.914633575999999948e+01 1.315734216999999973e+01 6.273711899999999675e-01 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.097972134000000111e+01
4.038421899999999898e-01 1.136301400000000045e-01 2.129903119999999817e+00 3.580669713000000343e+01 2.298027119999999979e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.264385973000000085e+01 1.157063359999999985e+00 2.975651490000000177e+00 3.481730499999999839e-01 3.133972500000000050e+00 0.000000000000000000e+00 -3.095406937999999997e+01
1.870733999999999939e-02 1.132614859999999890e+00 5.410858239999999597e+00 2.556663952999999978e+01 1.124871940000000015e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.167268436999999892e+01
3.864707399999999793e-01 5.776084099999999610e-01 2.235077790000000064e+00 3.211349089000000134e+01 3.820214659999999984e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.074474744999999842e+01
